                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX

     PC      BR    IR     TOS S[TOS]     EA   (EA)    TOS S[TOS]     EA   (EA)

      0      0     13      0      0      0      0      1     12      0      0
      1      0   dc12      1     12     12      0      0      0     12      0
      2      0   d816      0      0     12      0      1     10     16      0
      3      0   b813      1     10     16      0      2      0     13      0
      4      0   c011      2      0     13      0      1     10     11      0
      5      0   9814      1     10     11      0      1      f     14      0
      6      0   dc16      1      f     14      0      0      0     16      0
      7      0   d812      0      0     16      0      1     12     12      0
      8      0   a415      1     12     12      0      1      0     15      0
      9      0   dc17      1      0     15      0      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1     12     12     1f
      e      0      b      1     12     12      0      1      9     12     1f
      f      0   dc12      1      9     12     1f      0      0     12     1f
     10      0   bc02      0      0     12     1f      0      0      2   d820
      2      0   d816      0      0      2   d820      1      f     16      0
      3      0   b813      1      f     16      0      2      0     13      0
      4      0   c011      2      0     13      0      1      f     11      a
      5      0   9814      1      f     11      a      1      e     14      1
      6      0   dc16      1      e     14      1      0      0     16      0
      7      0   d812      0      0     16      0      1      9     12     1f
      8      0   a415      1      9     12     1f      1      1     15      0
      9      0   dc17      1      1     15      1      0      0     17      0
      a      0   d817      0      0     17      0      1      1     17      0
      b      0   9c17      1      1     17      0      1      1     17      0
      c      0     14      1      1     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      9     12      3
      e      0      b      1      9     12      0      1      4     12      3
      f      0   dc12      1      4     12      3      0      0     12      3
     10      0   bc02      0      0     12      3      0      0      2   d820
      2      0   d816      0      0      2   d820      1      e     16      0
      3      0   b813      1      e     16      0      2      0     13      0
      4      0   c011      2      0     13      0      1      e     11      a
      5      0   9814      1      e     11      a      1      d     14      3
      6      0   dc16      1      d     14      3      0      0     16      0
      7      0   d812      0      0     16      0      1      4     12      3
      8      0   a415      1      4     12      3      1      0     15      1
      9      0   dc17      1      0     15      d      0      0     17      0
